candidate_id,job_name,message_text
785464,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。株式会社ペイジェント様での新規開拓営業としてのご経験を拝見し、ぜひお話したくご連絡いたしました。貴社において5年以上にわたり営業資料作成やアウトバウンド新規開拓を担当されてきた点、そして幅広いエリアで成果をあげられているご活躍に深く共感いたしました。

当社はAIチャットボットを活用したチャットコマース事業を展開し、国内外480社超に導入実績を持つ急成長SaaS企業です。今回募集するアカウントプランナーとしては、マーケティング課題を持つ大手エンタープライズ企業に対して、AI対話型ソリューションを提案し、導入後も成果最大化に向けて伴走していただきます。目標はクライアントのLP比購買率5倍達成に向けたプランニングとデータドリブンな改善であり、ご経験を活かしキャリアアップが望める環境です。

株式会社ペイジェント様での新規開拓営業のご経験は、AIチャットの新市場開拓という当社のミッションと非常に親和性が高いと考えております。ご自身のスキルを活かしながら、先端技術と接客DXの融合で顧客価値を創出する当社でさらなる挑戦をしてみませんか。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
799572,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。突然のご連絡失礼いたします。UUUM株式会社様でのインフルエンサーマーケティング施策提案の営業として、多様な広告代理店様と信頼関係を築きながら高い成果を上げてこられたご経験に大変感銘を受け、ご連絡いたしました。

これまでバーチャルYouTuberの立ち上げメンバーとしてのディレクションから始まり、ブランド広告のメディアプラン設計や企画運営まで幅広くご活躍されている点は、複雑なマーケティング課題に対する深い理解力と実行力の証と存じます。

ZEALSではAIチャットボットを活用した新たなチャットコマースサービスを推進しており、アカウントプランナーとして大手エンタープライズ企業のマーケティング課題に対し、AI×対話型UXを活用したソリューションの提案から導入・運用フォローまで一気通貫で携わっていただきます。売上向上や顧客満足度の向上を定量的に実現するデータドリブンな営業経験を積むことで、さらなるキャリアアップが期待できます。

これまで培われた広告代理店向け営業のご経験や企画提案力は、AIを活用した当社のチャットコマース事業との親和性が非常に高く、新たなマーケットでご自身のスキルを最大限に発揮いただける環境です。裁量の大きな中でチャレンジを楽しみながら成長していただけると確信しております。

もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
867205,【エンタープライズ向け】アカウントプランナー,はじめまして。株式会社ZEALSの採用責任者の古賀と申します。株式会社anveil様での代理店営業や企画営業、さらに多国籍チームとの協業を含む幅広いご経験を拝見し、ご連絡差し上げました。国内SIerでの正確な実務と調整力、AirbnbでのAPAC地域におけるグローバルな連携支援、そしてD2Cブランドの新規立ち上げにかかわるオペレーション構築や新商品ローンチ管理など、非常に多彩かつ実践的なご実績に感銘を受けております。弊社では、AIチャットを活用したチャットコマース事業を通じてエンタープライズ企業のマーケティング課題の解決を目指しており、特に長期的なパートナーとして導入後の成功にコミットできるアカウントプランナーを募集しています。数値目標としては導入企業のコンバージョン率を大幅改善し、顧客の売上最大化を図ることが期待されており、最新のAI技術と会話デザインを駆使した製品展開で急成長中の環境です。異業種での新規事業や多様なステークホルダーと調整をされてきたご経験は、弊社のAIチャットコマースの提案から運用、改善までを一貫して担うポジションに非常にマッチしています。海外展開も進む弊社のグローバルチームで、さらにキャリアを拡げていただける絶好の機会と考えております。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。
897787,【エンタープライズ向け】アカウントプランナー,はじめまして。株式会社ZEALS 採用責任者の古賀と申します。突然のご連絡失礼いたします。ウリドキ株式会社様での新規開拓営業や数字管理、営業企画のご経験を拝見し、大変魅力を感じご連絡いたしました。特に新規開拓営業に加え既存顧客対応を含む幅広い営業経験や、証券外務員一種など専門的な資格を複数お持ちで、事業責任者として数字管理に関わられてきた点に強い共感を覚えております。当社ではAIチャット技術を活用したチャットコマース事業を成長させるべく、エンタープライズ企業向けのアカウントプランナーを募集しています。このポジションでは顧客のマーケティング課題を深く理解し、AI対話型接客の提案から導入後のフォローまで一貫して担当いただき、購買率向上や顧客満足度の最大化に貢献いただきます。成長著しいSaaS市場でのキャリアアップや、データドリブンな営業力の強化が期待できる環境です。ウリドキ株式会社様で培われた新規開拓や営業企画の経験は、多様なステークホルダーとの折衝や課題解決が求められる当社の業務内容と非常に親和性が高く、ご志向に合致すると考えております。AI×マーケティング領域の最前線において、より大きな裁量と成長機会を感じていただけるはずです。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。
898664,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。株式会社スターティアレイズ様でのDXコンサルタント、ご新規事業PM、マネジメントご経験を拝見し、ぜひ一度お話したくご連絡いたしました。

RPAや業務改革・BPRを駆使したDX推進のご実績や、生成AIやPower Platformを活用した研修事業開発の経験は、当社が目指すAIチャットコマースによるおもてなし体験の革新に非常に親和性が高いと感じております。

当社では、AIエージェントを用いたチャットコマースを大手企業に提案し、導入後も継続的にパートナーとして伴走いただくアカウントプランナーを募集しています。クライアントのマーケティング課題を深く理解し、データドリブンによるプランニングでコンバージョン率向上に寄与するほか、チームリーダーとして社内外のディレクションも担っていただきます。これまでのマネジメントと新規事業開発の経験を活かし、急成長のAI領域でさらなるキャリア発展が期待できます。

スターティアレイズ様で培われたDX推進と新規事業マネジメントのご経験は、まさに当社のチャットコマース導入支援の営業スタイルと合致しています。お客様の課題に寄り添いながら技術を融合させ新たな価値提供を目指す点に高い親和性があると確信しております。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
1013803,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。突然のご連絡失礼いたします。株式会社ネオキャリア様にて新規開拓営業としてご活躍されているご経歴を拝見し、ぜひ一度お話をさせていただきたくご連絡いたしました。

貴社でのインバウンドを中心とした新規開拓営業で成果を上げられてきた点に大変共感しております。エンタープライズ企業を対象とした商材提案のご経験や、マーケティング分野への深い理解が、当社のAIチャットコマース事業の発展に大いに役立つと期待しております。

当社のアカウントプランナーとしては、AIを活用したチャットボットによる顧客接点改革を推進し、大手クライアントの売上最大化を目指す重要な役割を担っていただきます。数値目標としては導入企業の購買率を従来比5倍に向上させており、マーケティング課題に対する戦略的な提案と運用まで一貫して携わりご経験を広げていただけます。

株式会社ネオキャリアで培われた顧客の課題把握能力や提案力、そして東京都でのご勤務希望は当社の環境と非常によく合致しております。成果を出しつつ柔軟にチャレンジできる当社で、さらなるキャリアの成長が期待できます。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
1034680,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS採用責任者の古賀と申します。株式会社リクルート様でのルートセールスとしてのご経験を拝見し、ぜひ一度お話をさせていただきたくご連絡いたしました。

貴社での3年間にわたるルートセールス業務において、顧客との信頼関係をベースにした提案力と着実な成果創出にご尽力されてきたご実績に深く共感しています。Salesforce認定アソシエイト資格もお持ちであり、営業スキルの向上に意欲的でいらっしゃる点も印象的です。

当社では、AIチャットボットを用いた新時代のチャットコマースを大手エンタープライズ企業に提案し、導入後も長期的に伴走支援するアカウントプランナーを募集しております。AIと会話デザインを組み合わせた最先端技術により、マーケティング課題の解決や売上向上に貢献するミッションで、裁量権を持って数値目標の達成を目指していただきます。ご経験を活かしながら、プロダクト成長やチームリーダーとしてのキャリアアップの機会も豊富です。

リクルート様で培われた法人クライアントへの丁寧な関係構築力と提案経験は、当社チャットコマースの拡販に非常にマッチしています。生活者の購買体験を革新する当社プロダクトは、貴殿のスキルと志向に合致した成長領域と自負しております。もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
1082556,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。突然のご連絡失礼いたします。株式会社カスタムライフ様で培われた法人営業やWebマーケティングのご経験を拝見し、ぜひ一度お話させていただきたく、ご連絡いたしました。

これまで新規開拓営業やカスタマーサクセス、SEOマーケティングなど多岐にわたりご活躍され、資料作成や市場調査のスキルも豊富にお持ちである点にとても共感しております。メンバーマネジメントの経験もあり、マルチにご対応されてきた実績に尊敬の念を抱いております。

当社のアカウントプランナーは、大手エンタープライズ企業に対しAIチャットボットを活用したチャットコマースの提案から導入後の運用サポートまでを担当いただきます。営業目標は売上最大化に加え、顧客満足度向上と継続的な成果創出にあります。最新のAI技術とデータドリブンなアプローチ、そしてマーケティング知見を掛け合わせることで、ご経験を活かしながらキャリアのさらなる発展が期待できます。

株式会社カスタムライフ様での豊富な営業経験やWebマーケティングスキルは、当社のAIチャットマーケティング事業と非常に親和性が高いと考えております。クライアントの課題把握から提案、運用支援まで一貫して携わってこられたことが、弊社のアカウントプランナーとしての役割にマッチしている理由です。

もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
1113417,【エンタープライズ向け】アカウントプランナー,"はじめまして。株式会社ZEALS 採用責任者の古賀と申します。ミーク株式会社様でのご活躍を拝見し、ぜひ一度お話できればとご連絡いたしました。

豊富な新規開拓営業のご経験に加え、マーケティングや商品企画における幅広い実績は、当社が目指すAIチャットコマースのビジネス開発に非常にマッチしています。特に、開発プロジェクトのプロダクトオーナーとしてのご経験やSalesforceの管理者としてのスキルは、複雑な顧客課題の抽出から解決策の提案・実行までの一連のプロセスで大きな力になると感じております。

当社のアカウントプランナーは、人工知能を活用したチャットボットによる新しい顧客接点の提案と導入、さらに運用改善に携わる重要な役割です。年間数億円規模の売上向上を目指しながら、継続的な顧客価値創出とチーム横断の推進も担います。貴殿のビジネス企画やマネジメント経験が、さらなるキャリアアップや新規事業拡大の大きな糧になるでしょう。

これまでのインサイドセールスのマネジメント経験やマーケティング領域での多角的なスキルは、弊社のAIチャット接客サービスと親和性が高く、多様なステークホルダーとのコミュニケーションを円滑に進める基盤となります。共に革新的なカスタマーエクスペリエンスの創造に取り組み、成長を加速させていけると確信しております。

もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。"
1122465,【エンタープライズ向け】アカウントプランナー,はじめまして。株式会社ZEALSの採用責任者の古賀と申します。急成長中のAIチャット接客領域において、新たな挑戦を共にできる方を探しております。エレコム株式会社様での営業及び営業企画のご経験を拝見し、幅広い業務に携わられ市場分析や企画立案に至るまでご活躍されていることに深く感銘を受けました。 ご経験を通じて顧客との信頼構築やデータ分析を駆使し売上向上に貢献されている点は、弊社が目指すAIチャットコマースのパートナーシップ構築に非常にマッチすると感じております。 当社ではアカウントプランナーとして、エンタープライズ企業向けにAIチャットボットを活用したチャットコマースの提案から運用フォローまで一気通貫で携わっていただきます。提案力とデータドリブンでの改善活動により、国内外480社以上の導入実績拡大を牽引し、購買率5倍を目指す挑戦的な環境です。 また営業企画やマーケティングの知見をお持ちの方は、より戦略的にクライアントの課題解決と売上最大化に寄与でき、ご自身のさらなる成長機会に繋がります。 エレコム株式会社様での営業企画に加え、多方面の部署と連携しながら成果創出をされてきたご経験は、弊社の多国籍で多様なチーム環境でも高い親和性を発揮できるものと確信しております。長期的なクライアントサポートを通じたパートナーシップ構築は、まさに御社で培われた強みを活かせるフィールドです。 もし少しでもご興味をお持ちいただけましたら、ぜひ一度オンラインでカジュアルにお話させていただけますと幸いです。ご返信、心よりお待ちしております。
